feature,kl_mean,kl_std,kl_min,kl_max,oa_mean,oa_std,oa_min,oa_max,n_trials
total_used_pitch,0.059235,0.036622,0.003707,0.111262,0.837795,0.013181,0.817199,0.852803,5
total_pitch_class_histogram,0.050585,0.041762,0.015050,0.132493,0.878841,0.055494,0.789891,0.959729,5
pitch_class_transition_matrix,0.116646,0.083584,0.031421,0.242668,0.826151,0.031923,0.764963,0.854984,5
pitch_range,0.043181,0.015989,0.020293,0.065472,0.867766,0.037383,0.819502,0.913323,5
avg_pitch_interval,0.015991,0.012744,0.003305,0.038732,0.882785,0.009814,0.871043,0.898713,5
total_used_note,0.176831,0.157843,0.019047,0.370181,0.803763,0.027149,0.766894,0.850320,5
avg_ioi,0.091228,0.118038,0.014009,0.325313,0.867797,0.015582,0.849876,0.888916,5
note_length_hist,0.034035,0.012671,0.017144,0.050708,0.888534,0.010042,0.872669,0.898861,5
note_length_transition_matrix,0.032375,0.017833,0.017925,0.064614,0.839701,0.037588,0.779195,0.884516,5
