model,metric,n_themes,mean,std,median,p25,p75,min,max
bebopnet,ctr,98,0.35185914603984453,0.06518620514224953,0.344476125,0.31125996875,0.3780585,0.24394633333333335,0.6269104999999999
bebopnet,scale_match,98,0.6122315563168125,0.055892090664514886,0.609016875,0.5814250000000001,0.6402476145833333,0.4869565,0.805451
bebopnet,note_density,98,11.847710155490766,2.389897381498157,11.38125,10.32421875,13.15625,6.625,17.375
bebopnet,pitch_entropy,98,3.343908530685131,0.13395250262734287,3.3844489166666665,3.2758815,3.435156325,2.8636163333333333,3.51509125
bebopnet,pitch_range,98,18.79853012633625,2.658038943754589,18.333333333333332,17.0,20.5,12.5,28.0
bebopnet,ngram_3_overlap,98,0.05906287271622936,0.05934290612888271,0.043433625000000003,0.0180350625,0.07525334374999999,0.0,0.345556
bebopnet,ngram_4_overlap,98,0.03337135103255588,0.05341426777829496,0.008630475,0.0,0.0505381875,0.0,0.29048175
bebopnet,ngram_5_overlap,98,0.025762675680272108,0.04877617752505844,0.0,0.0,0.0390880625,0.0,0.26338875
bebopnet,contour_sim,98,0.4258266325072887,0.08635329271077195,0.417896375,0.36386399999999997,0.4978916875,0.201496,0.6536495
cmt,ctr,99,0.47710885746753245,0.10933634248373322,0.47261025,0.417019825,0.5442121458333333,0.169048,0.7476955000000001
cmt,scale_match,99,0.7480758895562771,0.1152180949623753,0.7584282499999999,0.6940569166666666,0.8173905,0.40801,0.97301125
cmt,note_density,99,4.013454485329485,1.253393502879539,4.0625,3.31875,4.796875,1.2604166666666667,7.375
cmt,pitch_entropy,99,2.4256755722342476,0.2899791132557602,2.4478641666666667,2.2257515892857143,2.660204375,1.6615737142857143,2.905601
cmt,pitch_range,99,11.095756558256559,2.3534989823994827,10.875,9.0,13.083333333333332,7.0,16.7
cmt,ngram_3_overlap,99,0.044219941047378544,0.02982403386153454,0.0384615,0.023231375,0.0595735,0.003378375,0.13534833333333332
cmt,ngram_4_overlap,99,0.006412423238335739,0.009078100502508403,0.002451,0.0,0.010110333333333332,0.0,0.039345
cmt,ngram_5_overlap,99,0.0010279607744107745,0.002945337491301606,0.0,0.0,0.0,0.0,0.015625
cmt,contour_sim,99,0.3257303667969376,0.10474156073230027,0.30412128571428576,0.25813600000000003,0.3682821875,0.08048966666666667,0.6339491666666667
mingus,ctr,97,0.3917437133161512,0.07657704756214741,0.3811055,0.3297015,0.4375,0.1885965,0.6448275
mingus,scale_match,97,0.6720321263745705,0.08721277217690335,0.6716323333333333,0.6125682,0.733333,0.39386,0.88
mingus,note_density,97,3.6844609106529207,0.637386920595066,3.53125,3.28125,3.9375,2.71875,6.25
mingus,pitch_entropy,97,3.130005901546392,0.13824623740526912,3.1490723333333333,3.043403,3.232473,2.70184925,3.3867450000000003
mingus,pitch_range,97,21.871219931271476,5.9060202312521515,20.0,18.0,24.0,11.5,51.0
mingus,ngram_3_overlap,97,0.023505841065292098,0.05484792284086728,0.0069445,0.0,0.02438425,0.0,0.444444
mingus,ngram_4_overlap,97,0.010684232474226804,0.04954559120211636,0.0,0.0,0.0,0.0,0.447368
mingus,ngram_5_overlap,97,0.007570297422680412,0.04620762054761645,0.0,0.0,0.0,0.0,0.435897
mingus,contour_sim,97,0.31089003754295536,0.1046803087735096,0.3181345,0.25139500000000004,0.3775405,-0.033528,0.607797
