theme,model,sample_idx,chunk_idx,n_notes,ctr,scale_match,note_density,pitch_entropy,pitch_range,ngram_3_overlap,ngram_4_overlap,ngram_5_overlap,contour_sim
AllOfMe_C_V,cmt,1,2,5,0.400000,0.800000,0.625000,2.321928,5.000000,0.500000,0.000000,,0.950654
AllOfMe_C_V,cmt,1,3,3,0.666667,1.000000,0.375000,0.918296,3.000000,,,,1.000000
AllOfMe_C_V,mingus,0,0,22,0.500000,0.772727,2.750000,2.952102,11.000000,0.000000,0.000000,0.000000,-0.125547
AllOfMe_C_V,mingus,0,1,31,0.354839,0.645161,3.875000,3.364383,25.000000,0.000000,0.000000,0.000000,0.398462
AllOfMe_C_V,mingus,1,0,21,0.619048,0.904762,2.625000,2.529488,21.000000,0.000000,0.000000,0.000000,0.286443
AllOfMe_C_V,mingus,1,1,20,0.450000,0.900000,2.500000,3.008695,21.000000,0.000000,0.000000,0.000000,0.051442
AllOfMe_C_V,bebopnet,0,0,55,0.400000,0.618182,6.875000,3.453085,20.000000,0.020000,0.000000,0.000000,0.434696
AllOfMe_C_V,bebopnet,0,1,64,0.484375,0.656250,8.000000,2.894805,8.000000,0.037037,0.000000,0.000000,0.560584
AllOfMe_C_V,bebopnet,1,0,117,0.273504,0.555556,14.625000,3.514228,21.000000,0.000000,0.000000,0.000000,0.462611
AllOfMe_C_V,bebopnet,1,1,111,0.414414,0.621622,13.875000,3.239602,23.000000,0.030303,0.000000,0.000000,0.541614
AllOfMe_F_V,cmt,0,0,22,0.454545,0.954545,2.750000,2.482889,10.000000,0.052632,0.000000,0.000000,-0.026541
AllOfMe_F_V,cmt,0,1,16,0.375000,0.875000,2.000000,2.483459,10.000000,0.000000,0.000000,0.000000,0.420424
AllOfMe_F_V,cmt,0,2,22,0.590909,0.954545,2.750000,2.236984,15.000000,0.105263,0.000000,0.000000,0.253502
AllOfMe_F_V,cmt,0,3,21,0.571429,0.952381,2.625000,2.470197,13.000000,0.000000,0.000000,0.000000,0.307035
AllOfMe_F_V,cmt,1,0,5,0.200000,0.600000,0.625000,1.521928,3.000000,0.000000,0.000000,,0.932294
AllOfMe_F_V,cmt,1,1,2,0.500000,1.000000,0.250000,1.000000,2.000000,,,,
AllOfMe_F_V,cmt,1,2,5,0.400000,0.800000,0.625000,2.321928,5.000000,0.500000,0.000000,,0.950654
AllOfMe_F_V,cmt,1,3,3,0.666667,1.000000,0.375000,0.918296,3.000000,,,,1.000000
AllOfMe_F_V,mingus,0,0,25,0.360000,0.680000,3.125000,2.968884,16.000000,0.000000,0.000000,0.000000,0.080021
