theme,model,sample_idx,chunk_idx,n_notes,ctr,scale_match,note_density,pitch_entropy,pitch_range,ngram_3_overlap,ngram_4_overlap,ngram_5_overlap,contour_sim
Boogie Stop Shuffle_I,cmt,1,3,16,0.625000,0.687500,2.000000,2.298795,12.000000,0.000000,0.000000,0.000000,0.420765
Boogie Stop Shuffle_I,cmt,1,4,23,0.565217,0.739130,2.875000,2.474892,15.000000,0.000000,0.000000,0.000000,0.536623
Boogie Stop Shuffle_I,cmt,1,5,25,0.840000,0.960000,3.125000,2.252879,12.000000,0.000000,0.000000,0.000000,0.219691
Boogie Stop Shuffle_I,cmt,1,6,20,0.650000,0.850000,2.500000,2.570951,15.000000,0.000000,0.000000,0.000000,0.554602
Boogie Stop Shuffle_I,mingus,0,0,32,0.281250,0.593750,4.000000,3.265320,15.000000,0.000000,0.000000,0.000000,0.306658
Boogie Stop Shuffle_I,mingus,0,1,26,0.384615,0.653846,3.250000,3.440636,25.000000,0.000000,0.000000,0.000000,0.176623
Boogie Stop Shuffle_I,mingus,0,2,30,0.366667,0.766667,3.750000,2.856565,12.000000,0.115385,0.076923,0.040000,0.564663
Boogie Stop Shuffle_I,mingus,0,3,28,0.428571,0.642857,3.500000,3.093992,17.000000,0.000000,0.000000,0.000000,0.477621
Boogie Stop Shuffle_I,mingus,0,4,25,0.400000,0.680000,3.125000,2.942683,17.000000,0.100000,0.000000,0.000000,0.421177
Boogie Stop Shuffle_I,mingus,1,0,24,0.250000,0.375000,3.000000,3.073935,33.000000,0.050000,0.000000,0.000000,0.358658
Boogie Stop Shuffle_I,mingus,1,1,22,0.363636,0.636364,2.750000,3.265583,23.000000,0.000000,0.000000,0.000000,0.161924
Boogie Stop Shuffle_I,mingus,1,2,28,0.428571,0.571429,3.500000,2.972209,47.000000,0.080000,0.041667,0.000000,0.556670
Boogie Stop Shuffle_I,mingus,1,3,24,0.416667,0.625000,3.000000,3.470176,17.000000,0.000000,0.000000,0.000000,0.554267
Boogie Stop Shuffle_I,mingus,1,4,30,0.366667,0.666667,3.750000,2.573024,6.000000,0.000000,0.000000,0.000000,0.394640
Boogie Stop Shuffle_I,bebopnet,0,0,45,0.266667,0.466667,5.625000,3.254780,21.000000,0.000000,0.000000,0.000000,0.098750
Boogie Stop Shuffle_I,bebopnet,0,1,99,0.333333,0.555556,12.375000,3.469054,18.000000,0.044944,0.021053,0.000000,0.488097
Boogie Stop Shuffle_I,bebopnet,0,2,129,0.279070,0.620155,16.125000,3.394175,20.000000,0.024793,0.008000,0.000000,0.752294
Boogie Stop Shuffle_I,bebopnet,0,3,102,0.343137,0.490196,12.750000,3.393904,19.000000,0.041667,0.010204,0.000000,0.479550
Boogie Stop Shuffle_I,bebopnet,0,4,139,0.316547,0.582734,17.375000,3.303841,18.000000,0.040984,0.007519,0.000000,0.342101
Boogie Stop Shuffle_I,bebopnet,1,0,139,0.381295,0.604317,17.375000,3.535198,25.000000,0.053097,0.015504,0.007519,0.301962
Boogie Stop Shuffle_I,bebopnet,1,1,131,0.351145,0.648855,16.375000,3.530087,21.000000,0.041667,0.007937,0.000000,0.517814
Boogie Stop Shuffle_I,bebopnet,1,2,168,0.327381,0.577381,21.000000,3.433509,17.000000,0.020548,0.012422,0.006135,0.848932
Boogie Stop Shuffle_I,bebopnet,1,3,139,0.330935,0.604317,17.375000,3.458729,17.000000,0.008264,0.000000,0.000000,0.573653
Boogie Stop Shuffle_I,bebopnet,1,4,163,0.319018,0.564417,20.375000,3.578694,23.000000,0.021429,0.000000,0.000000,0.466973
BrazosRiverBreakdown_III,cmt,0,0,56,0.714286,0.857143,7.000000,2.722803,20.000000,0.104167,0.000000,0.000000,0.445380
BrazosRiverBreakdown_III,cmt,0,1,34,0.558824,0.882353,4.250000,2.554172,14.000000,0.200000,0.033333,0.000000,0.120535
BrazosRiverBreakdown_III,cmt,0,2,50,0.460000,0.600000,6.250000,3.083099,11.000000,0.000000,0.000000,0.000000,0.272070
BrazosRiverBreakdown_III,cmt,1,0,45,0.911111,0.955556,5.625000,1.620396,5.000000,0.068966,0.028571,0.000000,0.256990
BrazosRiverBreakdown_III,cmt,1,1,35,0.942857,0.971429,4.375000,1.815145,12.000000,0.230769,0.066667,0.000000,0.245747
BrazosRiverBreakdown_III,cmt,1,2,65,0.369231,0.600000,8.125000,3.281694,15.000000,0.034483,0.016393,0.000000,0.332421
BrazosRiverBreakdown_III,mingus,0,0,39,0.615385,0.871795,4.875000,3.063730,22.000000,0.028571,0.000000,0.000000,0.204605
BrazosRiverBreakdown_III,mingus,0,1,31,0.419355,0.677419,3.875000,3.434215,52.000000,0.000000,0.000000,0.000000,0.070771
BrazosRiverBreakdown_III,mingus,1,0,26,0.769231,0.923077,3.250000,2.714838,22.000000,0.285714,0.181818,0.095238,0.142227
BrazosRiverBreakdown_III,mingus,1,1,21,0.380952,0.476190,2.625000,3.154222,23.000000,0.000000,0.000000,0.000000,0.570692
BrazosRiverBreakdown_III,bebopnet,0,0,59,0.881356,1.000000,7.375000,2.254018,17.000000,0.307692,0.250000,0.212766,0.407342
BrazosRiverBreakdown_III,bebopnet,0,1,100,0.370000,0.610000,12.500000,3.482905,27.000000,0.011494,0.000000,0.000000,0.440445
BrazosRiverBreakdown_III,bebopnet,0,2,111,0.351351,0.702703,13.875000,3.503972,15.000000,0.020619,0.000000,0.000000,0.584480
BrazosRiverBreakdown_III,bebopnet,1,0,59,0.881356,1.000000,7.375000,2.254018,17.000000,0.307692,0.250000,0.212766,0.407342
BrazosRiverBreakdown_III,bebopnet,1,1,39,0.333333,0.564103,4.875000,3.117984,11.000000,0.027778,0.000000,0.000000,0.314566
BrazosRiverBreakdown_III,bebopnet,1,2,55,0.418182,0.672727,6.875000,3.457136,14.000000,0.000000,0.000000,0.000000,0.305357
Caravan_IV_Part-2,cmt,0,0,15,0.400000,0.400000,1.875000,2.656565,7.000000,0.000000,0.000000,0.000000,0.498011
Caravan_IV_Part-2,cmt,0,1,12,0.583333,1.000000,1.500000,2.355389,9.000000,0.000000,0.000000,0.000000,0.273399
Caravan_IV_Part-2,cmt,0,2,21,0.523810,0.809524,2.625000,2.606138,12.000000,0.000000,0.000000,0.000000,0.053990
Caravan_IV_Part-2,cmt,0,3,14,0.214286,0.642857,1.750000,2.067031,8.000000,0.000000,0.000000,0.000000,0.470257
Caravan_IV_Part-2,cmt,0,4,17,0.294118,0.705882,2.125000,2.984234,13.000000,0.000000,0.000000,0.000000,0.147629
Caravan_IV_Part-2,cmt,0,5,13,0.692308,1.000000,1.625000,1.826245,7.000000,0.000000,0.000000,0.000000,0.222617
Caravan_IV_Part-2,cmt,1,0,6,0.000000,0.166667,0.750000,1.792481,9.000000,0.000000,0.000000,0.000000,0.764969
Caravan_IV_Part-2,cmt,1,1,1,1.000000,1.000000,0.125000,0.000000,,,,,
Caravan_IV_Part-2,cmt,1,2,6,0.500000,1.000000,0.750000,1.918296,5.000000,0.000000,0.000000,0.000000,0.767426
Caravan_IV_Part-2,cmt,1,3,6,0.000000,0.166667,0.750000,1.459148,9.000000,0.000000,0.000000,0.000000,0.723907
Caravan_IV_Part-2,cmt,1,4,9,0.444444,0.555556,1.125000,1.392147,3.000000,0.333333,0.200000,0.000000,0.678207
Caravan_IV_Part-2,cmt,1,5,1,1.000000,1.000000,0.125000,0.000000,,,,,
Caravan_IV_Part-2,mingus,0,0,33,0.363636,0.545455,4.125000,3.192291,12.000000,0.071429,0.000000,0.000000,0.387727
Caravan_IV_Part-2,mingus,0,1,27,0.481481,0.703704,3.375000,2.949151,12.000000,0.130435,0.086957,0.045455,0.522365
Caravan_IV_Part-2,mingus,0,2,28,0.250000,0.607143,3.500000,3.186495,17.000000,0.000000,0.000000,0.000000,0.619058
Caravan_IV_Part-2,mingus,0,3,22,0.227273,0.500000,2.750000,3.390805,21.000000,0.000000,0.000000,0.000000,0.268269
Caravan_IV_Part-2,mingus,1,0,23,0.391304,0.739130,2.875000,2.844032,18.000000,0.050000,0.000000,0.000000,-0.062224
Caravan_IV_Part-2,mingus,1,1,21,0.380952,0.619048,2.625000,3.308751,21.000000,0.000000,0.000000,0.000000,0.394528
Caravan_IV_Part-2,mingus,1,2,31,0.387097,0.612903,3.875000,3.388734,30.000000,0.000000,0.000000,0.000000,0.251323
Caravan_IV_Part-2,mingus,1,3,34,0.382353,0.647059,4.250000,3.282049,12.000000,0.000000,0.000000,0.000000,0.625480
Caravan_IV_Part-2,bebopnet,0,0,20,0.350000,0.700000,2.500000,2.765957,8.000000,0.062500,0.000000,0.000000,0.150849
Caravan_IV_Part-2,bebopnet,0,1,85,0.329412,0.529412,10.625000,3.459886,22.000000,0.050633,0.000000,0.000000,0.657379
Caravan_IV_Part-2,bebopnet,0,2,170,0.364706,0.576471,21.250000,3.569793,23.000000,0.007519,0.000000,0.000000,0.609556
Caravan_IV_Part-2,bebopnet,0,3,126,0.373016,0.595238,15.750000,3.547340,24.000000,0.009434,0.000000,0.000000,0.651287
Caravan_IV_Part-2,bebopnet,1,0,17,0.352941,0.764706,2.125000,3.028639,10.000000,0.076923,0.000000,0.000000,0.238614
Caravan_IV_Part-2,bebopnet,1,1,53,0.301887,0.584906,6.625000,3.071339,13.000000,0.041667,0.000000,0.000000,0.414758
Caravan_IV_Part-2,bebopnet,1,2,101,0.336634,0.603960,12.625000,3.548693,22.000000,0.021978,0.010309,0.000000,0.556598
Caravan_IV_Part-2,bebopnet,1,3,91,0.362637,0.593407,11.375000,3.490219,15.000000,0.035714,0.000000,0.000000,0.480790
Caravan_V,cmt,0,0,15,0.400000,0.400000,1.875000,2.656565,7.000000,0.000000,0.000000,0.000000,0.498011
Caravan_V,cmt,0,1,12,0.583333,1.000000,1.500000,2.355389,9.000000,0.000000,0.000000,0.000000,0.273399
Caravan_V,cmt,0,2,21,0.523810,0.809524,2.625000,2.606138,12.000000,0.000000,0.000000,0.000000,0.053990
Caravan_V,cmt,0,3,14,0.214286,0.642857,1.750000,2.067031,8.000000,0.000000,0.000000,0.000000,0.470257
Caravan_V,cmt,0,4,17,0.294118,0.705882,2.125000,2.984234,13.000000,0.000000,0.000000,0.000000,0.147629
Caravan_V,cmt,0,5,13,0.692308,1.000000,1.625000,1.826245,7.000000,0.000000,0.000000,0.000000,0.222617
Caravan_V,cmt,1,0,6,0.000000,0.166667,0.750000,1.792481,9.000000,0.000000,0.000000,0.000000,0.764969
Caravan_V,cmt,1,1,1,1.000000,1.000000,0.125000,0.000000,,,,,
Caravan_V,cmt,1,2,6,0.500000,1.000000,0.750000,1.918296,5.000000,0.000000,0.000000,0.000000,0.767426
Caravan_V,cmt,1,3,6,0.000000,0.166667,0.750000,1.459148,9.000000,0.000000,0.000000,0.000000,0.723907
Caravan_V,cmt,1,4,9,0.444444,0.555556,1.125000,1.392147,3.000000,0.333333,0.200000,0.000000,0.678207
Caravan_V,cmt,1,5,1,1.000000,1.000000,0.125000,0.000000,,,,,
Caravan_V,mingus,0,0,33,0.363636,0.545455,4.125000,3.192291,12.000000,0.071429,0.000000,0.000000,0.387727
Caravan_V,mingus,0,1,27,0.481481,0.703704,3.375000,2.949151,12.000000,0.130435,0.086957,0.045455,0.522365
Caravan_V,mingus,0,2,28,0.250000,0.607143,3.500000,3.186495,17.000000,0.000000,0.000000,0.000000,0.619058
Caravan_V,mingus,0,3,22,0.227273,0.500000,2.750000,3.390805,21.000000,0.000000,0.000000,0.000000,0.268269
Caravan_V,mingus,1,0,23,0.391304,0.739130,2.875000,2.844032,18.000000,0.050000,0.000000,0.000000,-0.062224
Caravan_V,mingus,1,1,21,0.380952,0.619048,2.625000,3.308751,21.000000,0.000000,0.000000,0.000000,0.394528
Caravan_V,mingus,1,2,31,0.387097,0.612903,3.875000,3.388734,30.000000,0.000000,0.000000,0.000000,0.251323
Caravan_V,mingus,1,3,34,0.382353,0.647059,4.250000,3.282049,12.000000,0.000000,0.000000,0.000000,0.625480
Caravan_V,bebopnet,0,0,27,0.370370,0.666667,3.375000,2.832067,8.000000,0.043478,0.000000,0.000000,0.315347
Caravan_V,bebopnet,0,1,127,0.338583,0.566929,15.875000,3.530304,31.000000,0.033613,0.008130,0.000000,0.780422
Caravan_V,bebopnet,0,2,144,0.270833,0.576389,18.000000,3.249220,15.000000,0.057851,0.036496,0.014388,0.658881
Caravan_V,bebopnet,0,3,129,0.286822,0.527132,16.125000,3.173562,17.000000,0.064815,0.016260,0.000000,0.643292
Caravan_V,bebopnet,1,0,17,0.352941,0.764706,2.125000,3.028639,10.000000,0.076923,0.000000,0.000000,0.238614
Caravan_V,bebopnet,1,1,53,0.301887,0.584906,6.625000,3.071339,13.000000,0.041667,0.000000,0.000000,0.414758
Caravan_V,bebopnet,1,2,101,0.336634,0.603960,12.625000,3.548693,22.000000,0.021978,0.010309,0.000000,0.556598
Caravan_V,bebopnet,1,3,91,0.362637,0.593407,11.375000,3.490219,15.000000,0.035714,0.000000,0.000000,0.480790
Chill_II,cmt,0,0,44,0.409091,0.522727,5.500000,2.874992,15.000000,0.075000,0.000000,0.000000,0.378868
Chill_II,cmt,0,1,35,0.342857,0.714286,4.375000,2.882735,10.000000,0.000000,0.000000,0.000000,-0.188762
Chill_II,cmt,0,2,33,0.121212,0.727273,4.125000,2.830052,14.000000,0.066667,0.000000,0.000000,0.271135
Chill_II,cmt,0,3,24,0.375000,0.500000,3.000000,2.844361,16.000000,0.150000,0.000000,0.000000,0.361825
Chill_II,cmt,1,0,25,0.400000,0.600000,3.125000,2.690699,11.000000,0.090909,0.000000,0.000000,0.228234
Chill_II,cmt,1,1,30,0.333333,0.733333,3.750000,2.786035,14.000000,0.000000,0.000000,0.000000,0.300163
Chill_II,cmt,1,2,26,0.346154,0.692308,3.250000,2.780588,9.000000,0.086957,0.000000,0.000000,0.464757
Chill_II,cmt,1,3,8,0.500000,0.750000,1.000000,2.250000,7.000000,0.000000,0.000000,0.000000,0.632530
Chill_II,mingus,0,0,38,0.210526,0.526316,4.750000,3.308702,35.000000,0.029412,0.000000,0.000000,0.327439
Chill_II,mingus,0,1,26,0.269231,0.615385,3.250000,3.353534,52.000000,0.000000,0.000000,0.000000,0.247167
Chill_II,mingus,0,2,27,0.333333,0.592593,3.375000,3.281760,25.000000,0.000000,0.000000,0.000000,0.523077
Chill_II,mingus,1,0,25,0.240000,0.760000,3.125000,3.243074,18.000000,0.000000,0.000000,0.000000,0.393669
Chill_II,mingus,1,1,21,0.333333,0.666667,2.625000,3.177566,25.000000,0.000000,0.000000,0.000000,0.258547
Chill_II,mingus,1,2,31,0.354839,0.612903,3.875000,3.269073,11.000000,0.000000,0.000000,0.000000,0.420332
Chill_II,bebopnet,0,0,65,0.123077,0.615385,8.125000,2.781983,10.000000,0.066667,0.043478,0.021739,0.359715
Chill_II,bebopnet,0,1,139,0.323741,0.582734,17.375000,3.516559,22.000000,0.024590,0.000000,0.000000,0.408538
Chill_II,bebopnet,0,2,92,0.304348,0.576087,11.500000,3.506766,17.000000,0.059524,0.000000,0.000000,0.356479
Chill_II,bebopnet,1,0,78,0.179487,0.564103,9.750000,3.142138,16.000000,0.080000,0.033898,0.016949,0.477281
Chill_II,bebopnet,1,1,87,0.264368,0.482759,10.875000,3.531159,17.000000,0.000000,0.000000,0.000000,0.416379
Chill_II,bebopnet,1,2,134,0.268657,0.574627,16.750000,3.430830,17.000000,0.017094,0.000000,0.000000,0.518514
Cissy Strut IV_I,cmt,0,0,62,0.548387,0.967742,7.750000,2.297580,15.000000,0.134615,0.053571,0.017544,0.266342
Cissy Strut IV_I,cmt,0,1,48,,,6.000000,2.756285,15.000000,0.046512,0.000000,0.000000,0.309182
Cissy Strut IV_I,cmt,1,0,50,0.500000,0.960000,6.250000,2.869010,15.000000,0.088889,0.021739,0.000000,0.119264
Cissy Strut IV_I,cmt,1,1,27,,,3.375000,2.438987,12.000000,0.090909,0.000000,0.000000,0.223152
Cissy Strut IV_I,mingus,0,0,34,0.264706,0.647059,4.250000,3.256909,20.000000,0.000000,0.000000,0.000000,0.139771
Cissy Strut IV_I,mingus,1,0,23,0.434783,0.913043,2.875000,2.560029,33.000000,0.050000,0.000000,0.000000,0.212034
Cissy Strut IV_I,bebopnet,0,0,20,0.650000,0.800000,2.500000,1.947731,4.000000,0.000000,0.000000,0.000000,0.536086
Cissy Strut IV_I,bebopnet,0,1,128,,,16.000000,3.513199,23.000000,0.018349,0.000000,0.000000,0.417357
Cissy Strut IV_I,bebopnet,1,0,40,0.400000,0.650000,5.000000,2.749759,18.000000,0.000000,0.000000,0.000000,-0.106292
Cissy Strut IV_I,bebopnet,1,1,142,,,17.750000,3.460901,20.000000,0.016129,0.000000,0.000000,0.518825
Days of Wine and Roses_II,cmt,0,0,38,0.263158,0.684211,4.750000,2.626806,10.000000,0.029412,0.000000,0.000000,0.496555
Days of Wine and Roses_II,cmt,0,1,22,0.409091,0.863636,2.750000,2.208987,8.000000,0.000000,0.000000,0.000000,0.127017
Days of Wine and Roses_II,cmt,0,2,34,0.323529,0.558824,4.250000,2.899121,10.000000,0.066667,0.033333,0.000000,0.461976
Days of Wine and Roses_II,cmt,0,3,19,0.368421,0.894737,2.375000,2.294274,10.000000,0.000000,0.000000,0.000000,0.346120
Days of Wine and Roses_II,cmt,1,0,20,0.150000,0.800000,2.500000,1.533206,5.000000,0.125000,0.062500,0.000000,0.135582
Days of Wine and Roses_II,cmt,1,1,18,0.333333,0.888889,2.250000,2.016876,7.000000,0.071429,0.000000,0.000000,0.382168
Days of Wine and Roses_II,cmt,1,2,43,0.255814,0.418605,5.375000,1.834444,5.000000,0.028571,0.000000,0.000000,0.455787
Days of Wine and Roses_II,cmt,1,3,5,0.200000,1.000000,0.625000,1.370951,7.000000,0.000000,0.000000,,0.916949
Days of Wine and Roses_II,mingus,0,0,40,0.325000,0.625000,5.000000,3.384830,19.000000,0.000000,0.000000,0.000000,0.471525
Days of Wine and Roses_II,mingus,0,1,19,0.473684,0.631579,2.375000,3.010571,12.000000,0.000000,0.000000,0.000000,0.137939
Days of Wine and Roses_II,mingus,1,0,21,0.238095,0.523810,2.625000,2.773270,26.000000,0.000000,0.000000,0.000000,0.265245
Days of Wine and Roses_II,mingus,1,1,20,0.300000,0.600000,2.500000,3.284184,21.000000,0.000000,0.000000,0.000000,0.385562
Days of Wine and Roses_II,bebopnet,0,0,44,0.454545,0.659091,5.500000,3.413676,24.000000,0.000000,0.000000,0.000000,0.345489
Days of Wine and Roses_II,bebopnet,0,1,107,0.364486,0.579439,13.375000,3.407198,15.000000,0.000000,0.000000,0.000000,0.507116
Days of Wine and Roses_II,bebopnet,1,0,26,0.230769,0.423077,3.250000,3.042001,14.000000,0.000000,0.000000,0.000000,0.377223
Days of Wine and Roses_II,bebopnet,1,1,92,0.478261,0.684783,11.500000,3.307902,17.000000,0.000000,0.000000,0.000000,0.636287
Desafinado_III,cmt,0,0,41,0.585366,0.609756,5.125000,2.231191,5.000000,0.111111,0.000000,0.000000,0.270360
Desafinado_III,cmt,0,1,35,0.314286,0.428571,4.375000,2.136483,8.000000,0.064516,0.000000,0.000000,0.003530
Desafinado_III,cmt,0,2,26,0.615385,0.615385,3.250000,1.507758,3.000000,0.000000,0.000000,0.000000,0.190451
Desafinado_III,cmt,0,3,23,0.739130,0.956522,2.875000,1.614318,5.000000,0.214286,0.000000,0.000000,0.364010
Desafinado_III,cmt,0,4,32,0.625000,0.843750,4.000000,2.730338,9.000000,0.034483,0.000000,0.000000,0.184079
Desafinado_III,cmt,0,5,40,0.525000,0.600000,5.000000,2.642738,10.000000,0.117647,0.029412,0.000000,0.224962
Desafinado_III,cmt,0,6,26,0.500000,0.846154,3.250000,2.250238,12.000000,0.117647,0.055556,0.052632,0.491233
Desafinado_III,cmt,1,0,24,0.750000,0.666667,3.000000,1.697339,5.000000,0.117647,0.000000,0.000000,0.434503
Desafinado_III,cmt,1,1,23,0.478261,0.565217,2.875000,2.789897,8.000000,0.050000,0.000000,0.000000,0.253928
Desafinado_III,cmt,1,2,21,0.523810,0.428571,2.625000,2.243774,8.000000,0.055556,0.000000,0.000000,0.503042
Desafinado_III,cmt,1,3,17,0.647059,0.882353,2.125000,2.063559,5.000000,0.285714,0.153846,0.000000,0.453246
Desafinado_III,cmt,1,4,64,0.750000,0.796875,8.000000,1.762567,9.000000,0.029412,0.000000,0.000000,0.477092
Desafinado_III,cmt,1,5,23,0.652174,0.782609,2.875000,2.663958,9.000000,0.000000,0.000000,0.000000,0.445313
Desafinado_III,cmt,1,6,29,0.655172,0.724138,3.625000,2.709070,12.000000,0.000000,0.000000,0.000000,0.387695
Desafinado_III,mingus,0,0,37,0.459459,0.648649,4.625000,3.311107,24.000000,0.029412,0.000000,0.000000,0.329740
Desafinado_III,mingus,0,1,21,0.523810,0.761905,2.625000,3.177566,23.000000,0.000000,0.000000,0.000000,0.328782
Desafinado_III,mingus,0,2,26,0.500000,0.576923,3.250000,2.936043,22.000000,0.000000,0.000000,0.000000,0.082186
Desafinado_III,mingus,0,3,24,0.166667,0.458333,3.000000,3.184561,23.000000,0.047619,0.000000,0.000000,0.321630
Desafinado_III,mingus,0,4,26,0.615385,0.769231,3.250000,2.809622,17.000000,0.043478,0.000000,0.000000,0.067391
Desafinado_III,mingus,1,0,26,0.384615,0.653846,3.250000,2.980091,33.000000,0.000000,0.000000,0.000000,0.270470
Desafinado_III,mingus,1,1,21,0.476190,0.571429,2.625000,2.910440,21.000000,0.000000,0.000000,0.000000,0.668867
Desafinado_III,mingus,1,2,30,0.400000,0.633333,3.750000,3.327421,16.000000,0.038462,0.000000,0.000000,0.179832
Desafinado_III,mingus,1,3,30,0.333333,0.500000,3.750000,3.152584,20.000000,0.037037,0.000000,0.000000,0.043105
Desafinado_III,mingus,1,4,31,0.387097,0.806452,3.875000,2.838590,9.000000,0.037037,0.000000,0.000000,0.190784
Desafinado_III,bebopnet,0,0,52,0.346154,0.480769,6.500000,3.261786,19.000000,0.136364,0.043478,0.000000,0.345248
Desafinado_III,bebopnet,0,1,79,0.493671,0.594937,9.875000,3.478433,19.000000,0.000000,0.000000,0.000000,0.360062
Desafinado_III,bebopnet,0,2,138,0.434783,0.521739,17.250000,3.338227,16.000000,0.081967,0.007463,0.000000,0.484099
Desafinado_III,bebopnet,0,3,162,0.419753,0.623457,20.250000,3.443176,18.000000,0.021127,0.012903,0.000000,0.398995
Desafinado_III,bebopnet,0,4,129,0.449612,0.534884,16.125000,3.232442,11.000000,0.044643,0.000000,0.000000,0.437438
Desafinado_III,bebopnet,1,0,148,0.398649,0.594595,18.500000,3.422352,20.000000,0.070312,0.014286,0.000000,0.430412
Desafinado_III,bebopnet,1,1,160,0.387500,0.606250,20.000000,3.314287,13.000000,0.035461,0.006452,0.000000,0.374898
Desafinado_III,bebopnet,1,2,161,0.447205,0.590062,20.125000,3.490492,14.000000,0.048611,0.000000,0.000000,0.602587
Desafinado_III,bebopnet,1,3,152,0.361842,0.546053,19.000000,3.453007,17.000000,0.021429,0.000000,0.000000,0.418956
Desafinado_III,bebopnet,1,4,127,0.448819,0.614173,15.875000,3.567459,18.000000,0.008547,0.000000,0.000000,0.487744
Doxy_IV_Part-1,cmt,0,0,42,0.571429,0.714286,5.250000,2.244389,7.000000,0.027027,0.000000,0.000000,0.144667
Doxy_IV_Part-1,cmt,0,1,48,0.416667,0.729167,6.000000,2.356404,5.000000,0.044444,0.000000,0.000000,0.197158
Doxy_IV_Part-1,cmt,1,0,36,0.527778,0.861111,4.500000,2.170643,7.000000,0.000000,0.000000,0.000000,0.279649
Doxy_IV_Part-1,cmt,1,1,29,0.344828,0.655172,3.625000,2.416162,12.000000,0.040000,0.000000,0.000000,0.200363
Doxy_IV_Part-1,mingus,0,0,41,0.365854,0.560976,5.125000,3.151565,15.000000,0.000000,0.000000,0.000000,0.297130
Doxy_IV_Part-1,mingus,1,0,27,0.481481,0.740741,3.375000,2.707324,33.000000,0.000000,0.000000,0.000000,0.259038
Doxy_IV_Part-1,bebopnet,0,0,54,0.259259,0.703704,6.750000,3.223993,16.000000,0.340426,0.326531,0.326531,0.293618
Doxy_IV_Part-1,bebopnet,1,0,103,0.262136,0.669903,12.875000,3.305997,24.000000,0.179775,0.168421,0.163265,0.579988
FlyingHome_IV_Part-1,cmt,0,0,46,0.782609,0.934783,5.750000,1.830263,8.000000,0.033333,0.000000,0.000000,0.087838
FlyingHome_IV_Part-1,cmt,1,0,34,0.647059,0.911765,4.250000,2.533797,18.000000,0.066667,0.000000,0.000000,0.430775
FlyingHome_IV_Part-1,mingus,0,0,44,0.431818,0.772727,5.500000,3.241618,35.000000,0.048780,0.025000,0.000000,0.229341
FlyingHome_IV_Part-1,mingus,1,0,29,0.310345,0.827586,3.625000,3.091799,35.000000,0.038462,0.000000,0.000000,0.517953
FlyingHome_IV_Part-1,bebopnet,0,0,106,0.358491,0.679245,13.250000,3.493243,24.000000,0.031250,0.000000,0.000000,0.397735
FlyingHome_IV_Part-1,bebopnet,1,0,84,0.309524,0.583333,10.500000,3.357711,19.000000,0.000000,0.000000,0.000000,0.268917
For Mods Only_II,cmt,0,0,51,0.411765,0.843137,6.375000,2.247233,9.000000,0.048780,0.022222,0.000000,0.368085
For Mods Only_II,cmt,0,1,39,0.384615,0.794872,4.875000,2.302774,7.000000,0.034483,0.000000,0.000000,0.423805
For Mods Only_II,cmt,0,2,34,0.411765,0.852941,4.250000,2.602066,10.000000,0.032258,0.000000,0.000000,0.523414
For Mods Only_II,cmt,0,3,20,0.700000,0.900000,2.500000,1.570951,14.000000,0.000000,0.000000,0.000000,0.248562
For Mods Only_II,cmt,1,0,34,0.323529,0.705882,4.250000,2.448558,7.000000,0.033333,0.000000,0.000000,0.296550
For Mods Only_II,cmt,1,1,32,0.406250,0.750000,4.000000,2.198826,5.000000,0.071429,0.035714,0.000000,0.251738
For Mods Only_II,cmt,1,2,16,0.250000,0.687500,2.000000,2.358459,8.000000,0.000000,0.000000,0.000000,0.612893
For Mods Only_II,cmt,1,3,3,0.333333,1.000000,0.375000,1.584963,5.000000,,,,1.000000
For Mods Only_II,mingus,0,0,34,0.323529,0.588235,4.250000,3.133863,12.000000,0.000000,0.000000,0.000000,0.177423
For Mods Only_II,mingus,0,1,26,0.269231,0.423077,3.250000,3.162972,52.000000,0.000000,0.000000,0.000000,0.034086
For Mods Only_II,mingus,1,0,25,0.320000,0.680000,3.125000,3.288884,14.000000,0.000000,0.000000,0.000000,-0.234479
For Mods Only_II,mingus,1,1,21,0.523810,0.666667,2.625000,2.987090,23.000000,0.000000,0.000000,0.000000,0.263316
For Mods Only_II,bebopnet,0,0,17,0.529412,0.823529,2.125000,2.933955,14.000000,0.000000,0.000000,0.000000,0.368211
For Mods Only_II,bebopnet,0,1,75,0.346667,0.613333,9.375000,3.356790,30.000000,0.000000,0.000000,0.000000,0.534824
For Mods Only_II,bebopnet,0,2,132,0.272727,0.530303,16.500000,3.532923,23.000000,0.008475,0.000000,0.000000,0.750994
For Mods Only_II,bebopnet,1,0,14,0.428571,0.642857,1.750000,2.842371,14.000000,0.000000,0.000000,0.000000,0.461518
For Mods Only_II,bebopnet,1,1,120,0.441667,0.683333,15.000000,3.449829,16.000000,0.020408,0.000000,0.000000,0.503169
For Mods Only_II,bebopnet,1,2,167,0.251497,0.532934,20.875000,3.492424,24.000000,0.000000,0.000000,0.000000,0.763958
FreightTrane_IV_Part-1,cmt,0,0,42,0.166667,0.595238,5.250000,3.013977,16.000000,0.027027,0.000000,0.000000,0.224030
FreightTrane_IV_Part-1,cmt,1,0,35,0.171429,0.628571,4.375000,2.595367,8.000000,0.031250,0.000000,0.000000,0.270379
FreightTrane_IV_Part-1,mingus,0,0,35,0.257143,0.542857,4.375000,3.225592,16.000000,0.066667,0.033333,0.000000,0.258042
