step,elapsed_sec,lr,val_loss,val_nll,val_p_top1,val_d_top1,val_p_entropy,val_d_entropy
1,2.97,5e-08,9.525901210583662,9.525901210583662,0.12411084761616742,4.593953762834568,4.867534637451172,4.660544921578778
4000,115.02,0.0002,4.826026220383839,4.826026220383839,30.606846473933537,31.62677830196939,4.8669225462103425,2.1860831416988766
8000,227.84,0.0004,4.068268661634697,4.068268661634697,32.42479252026642,36.89611736630008,4.866351868969206,1.9587259658074054
12000,340.22,0.0006,3.924293241461283,3.924293241461283,33.22391820476828,38.64330172988177,4.866364234795427,1.811056982418031
16000,452.94,0.0008,3.8696286821619745,3.8696286821619745,33.3313574347188,39.104919971314565,4.866260818963087,1.7068278977061138
20000,565.82,0.000996057350657239,3.8472118528905392,3.8472118528905392,33.59365738041668,39.63359513477807,4.866231083092636,1.692161174320793
24000,678.46,0.000994325872368957,3.8262499178381595,3.8262499178381595,33.80927682502353,40.042975689266726,4.866244061260303,1.6845558900838784
28000,790.59,0.0009922821672646027,3.8535741500764042,3.8535741500764042,34.05082988320686,39.918123891725294,4.866002567463114,1.607323833676436
32000,902.57,0.0009899275261921235,3.835384637361175,3.835384637361175,34.205320088059224,40.13411381421318,4.866176075757291,1.5829338380268643
36000,1014.71,0.0009872634363932886,3.8523311027635394,3.8523311027635394,34.15308238619096,40.35714286392655,4.86613657758585,1.570546116218386
40000,1126.35,0.0009842915805643156,3.8698049024074264,3.8698049024074264,34.208283926936105,39.99259038901428,4.866137411527967,1.5681408998453201
44000,1238.4,0.0009810138357930428,3.8775300410066613,3.8775300410066613,33.91301125852611,40.04038233867254,4.866196696038916,1.570944166635718
48000,1351.75,0.0009774322723733215,3.9057308016122976,3.9057308016122976,34.01267041046378,39.922569639412835,4.865953370531282,1.56502565638017
52000,1464.1,0.0009735491524973722,3.9676966749710236,3.9676966749710236,33.54549496508803,39.9270154079037,4.866026302251719,1.460073957997239
56000,1576.97,0.0009693669288269371,3.9467697797050545,3.9467697797050545,33.582542977053244,39.98518078571674,4.866032914770519,1.4850993192188826
60000,1691.12,0.0009648882429441257,3.969558175951331,3.969558175951331,33.69961469839081,39.801793127958774,4.866046553669982,1.4668382752061808
64000,1803.74,0.0009601159236829353,4.0177401102288774,4.0177401102288774,33.17612626505944,39.66064019873076,4.865911255549876,1.4526148232610958
68000,1916.48,0.0009550529853424979,4.0324294322047205,4.0324294322047205,33.42434794952266,39.31794604814187,4.865847678882664,1.4638376166570377
72000,2029.14,0.0009497026257831855,4.078025768632782,4.078025768632782,33.15130408331708,39.452430358325934,4.8658470936759946,1.4331637184508255
