phase,epoch,val_loss,val_ppl,val_acc,time_sec
pitch,1,2.6321284763394064,13.903331342357543,0.11181039718147147,5.830939054489136
pitch,2,2.6825522742140184,14.622365998254311,0.10888391373498553,5.076261043548584
pitch,3,2.600000333685057,13.463742527650634,0.11339474137112475,5.074783802032471
pitch,4,2.573105136441276,13.106458663294566,0.11530984922217476,5.02291202545166
pitch,5,2.5711771986731864,13.081214568972367,0.11577395788824005,5.1382081508636475
pitch,6,2.5498421504283844,12.805082346362926,0.11895454509487416,5.098234176635742
pitch,7,2.5520931186184717,12.833938644516422,0.12037845293484623,5.121574401855469
pitch,8,2.5362326380393836,12.631991929241469,0.12721730146861002,5.120733976364136
pitch,9,2.540900404131909,12.691092940389877,0.12038051520043046,5.07032036781311
pitch,10,2.5468609287609243,12.766964404666867,0.1252080761683205,5.02851414680481
duration,1,1.5208945843899175,4.576317266507603,0.3017564864929022,5.367094278335571
duration,2,1.505801726455998,4.507766177359544,0.3016403764895788,5.000433683395386
duration,3,1.4898700843668353,4.436519108373088,0.3023145197344474,4.981388568878174
duration,4,1.4740287672068422,4.366792540563785,0.30457654813337776,4.990286827087402
duration,5,1.4637136193926938,4.3219799516196735,0.3061879391587144,4.9879679679870605
duration,6,1.4580423102129827,4.2975380413724205,0.3071594887955182,4.996525526046753
duration,7,1.4545238423953195,4.282443861842799,0.3070296353004478,4.9764533042907715
duration,8,1.449542821379051,4.261165955807606,0.307863473072845,4.941309213638306
duration,9,1.4495555560775601,4.261220220816873,0.3077650283277151,4.963250637054443
duration,10,1.444016051149402,4.237680429992693,0.3087747471870105,4.941321611404419
